task,type,input,output,source
definition,SHA,계약서 상에서 사용되는 용어인 공정시장가치란?,"어느 일자 기준으로, 지배주주와 소수주주가 공동으로 선임한 국내 4대 회계법인에 의해, 또는 지배주주와 소수주주가 제3자의 제안일로부터 [?]영업일 이내에 회계법인에 대한 합의에 도달하지 못한 경우 직전 연도 또는 해당 정보가 제공되는 가장 최근 연도에 금융감독원에 보고되어 공시된 매출액에 기반하여 가장 높은 매출액을 가진 회계법인이 정하는 공정시장가치를 의미한다. 단, 해당 회계법인은 회사, 지배주주 또는 소수주주의 외부감사인에 해당하지 않아야 하며 달리 일방 당사자와 그 공정성에 영향을 미칠만한 이해상충 사유가 없어야 한다. ",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
definition,SHA,계약서 상에서 사용되는 용어인 적격 IPO란?,"(i) (A) 당시 소수주주가 소유한 매도대상주식 전부가 해당 IPO를 통해 매각되고, (B) 회사의 보통주식의 주당 공모가격이 소수주주가 IPO를 통해 매각되는 매도대상주식과 관련하여 최소 IRR을 실현할 수 있는 가격 이상인 IPO, 또는 (ii) (A) 당시 소수주주가 소유한 매도대상주식의 [?]% 이상이 해당 IPO를 통해 매각되고, (B) 회사의 보통주식의 주당 공모가격이 소수주주가 IPO를 통해 매각하는 매도대상주식과 관련하여 [?]%의 IRR을 실현할 수 있는 가격 이상인 IPO를 의미한다.
소수주주로 투자를 하는 재무적 투자자의 투자회수(Exit)와 관련한 일종의 기준으로 기능하며, 적격 IPO의 정의는 (i) 적격 IPO의 요건에 충족하지 아니하는 상장을 소수주주가 반대할 수 있고, 이에 따라 소수주주가 지배주주에 대하여 주주간계약의 위반에 따른 페널티의 발동 요건이 될 수 있다는 점과 (ii) 분쟁 가능성(소수주주의 투자 당시에는 시장전망 및 산업전망이 좋아 적격IPO 달성이 예상되어도, 실제 IPO 시점에서의 시장 내지 산업 상황에 따라 IPO가 어렵거나 적정한 공모가격이 산정되지 아니할 위험 존재)이 내포되어 있다는 점에서 중요한 의미를 가지므로 지배주주 입장에서 적격 IPO 정의에 대한 신중한 접근이 필요하다.
",가이드라인
definition,SHA,기업 인수합병과 관련한 용어인 내부수익률(IRR)이란?,"(x) 소수주주가 매도대상주식에 대하여 지급한 진입가격(음수로 표현)과 (y) 소수주주의 매도대상주식과 관련 회수금액(배당금, 유상감자대금 등을 포함하여 주주의 자격에서 지급받은 금원을 의미하며 양수로 표현)을 해당 주식의 취득일로부터 각 회수일까지의 기간을 대상으로 하여 어떠한 이자율로 할인하였을 때 위 (x) 및 위 (y)의 현재가치의 합산액이 영(0)이 되도록 하는 이자율을 의미함. 적격 IPO가 되지 않음으로써 지배주주가 대상회사의 경영권을 잃거나 대상회사 운영에 장애를 겪을 수 있는 상황에서 지배주주가 소수주주의 주식 매수 시 고려하는 기준으로 기능한다
",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
definition,SHA,"주주간합의서(SHA)에 등장하는 ""지배""란?",의결권 있는 증권의 소유 또는 계약 등 방법을 불문하고 직접 또는 간접적으로 해당 인(人) 또는 해당 인(人)의 경영에 대하여 지시를 내리거나 지시하도록 하거나 이에 영향을 미칠 수 있는 능력을 의미한다,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
definition,SHA,적격IPO 간주란 무엇인가요?,"적격 IPO 요건을 충족하지 못함에 따른 페널티를 지배주주가 받거나 소수주주와 분쟁이 발생하는 것을 미연에 방지하기 위하여 적격 간주 IPO에 대해 규정하게 된다. IPO가 적격 IPO로 진행될 것이라는 합리적인 판단에 따라 지배주주가 회사로 하여금 IPO를 진행하게 하였으나 해당 IPO가 완료 당시 적격 IPO의 조건을 충족하지 않는 경우, 적격간주 IPO조건으로 하는 대체 거래를 제안하고, 소수주주는 지배주주의 제안을 받고 수락여부를 결정할 수 있다",가이드라인
definition,SHA,주주간계약서(SHA)에서의 유인금지 조항이 뭐야?,"지배주주가 대상회사의 임직원을 유인하는 등으로 대상회사의 가치를 훼손하는 행위를 금지하기 위한 규정으로 지배주주는 소수주주의 사전 서면 동의가 없는 한, 본 계약이 존속하는 동안 및 본 계약의 해지일로부터 [?]년이 경과한 날까지, 직접 또는 특수관계인을 통하여 간접적으로, (i) 회사의 고객, 협력업체 기타 거래처로 하여금 회사와의 계약관계 기타 거래관계를 종료, 축소하거나 거래조건을 불리하게 변경하도록 하는 행위, (ii) 회사의 임직원을 고용 또는 채용하거나 이를 권유하는 행위를 하여서는 아니된다 등으로 계약서에 쓰인다.",가이드라인
definition,SHA,이사회의 의결정족수는 무엇인가요?,"이사회 진행 과정에서 사항에 대한 승인은 관련 법률에 따라 달리 요구되지 않는 한, 출석 이사 과반수의 찬성을 요한다는 의미이다.",가이드라인
definition,SHA,주주간합의서(SHA)에서 콜옵션 IRR은 무엇인가요?,"각 제안주식에 대하여 종결일로부터 해당 콜옵션 거래의 종결시까지 적용되는 IRR을 의미함. 기간 구애없이 일정한 IRR로 정할수도 있고, 당사자간 협상에 따라 기간을 구분하여 규정할수도 있다.
(i) 콜옵션 종결이 적격 IPO 이행기한으로부터 [?]개월 이내에 이루어지는 경우 [?]% 
(ii) 콜옵션 종결이 위 (i)에 언급된 기간 직후 도래하는 [?]년의 기간 중 어느 때에 이루어지는 경우 [?]%
(iii) 콜옵션 종결이 위 (ii)에 언급된 기간 직후 도래하는 [?]년의 기간 중 어느 때에 이루어지는 경우 [?]%
(iv) 콜옵션 종결이 위 (iii)에 언급된 기간 직후 도래하는 [?]년의 기간 중 어느 때에 이루어지는 경우 [?]%
(v) 콜옵션 종결이 위 (iv)에 명시된 기간의 만료 후 어느 때에 이루어지는 경우 [?]%.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
definition,SHA,계약서 상의 영업일은 어떻게 정의되나요?,"(i) 토요일이나 일요일, 또는 (ii) 대한민국에 소재한 은행들이 법률상 휴업할 것이 요구되거나 승인된 날을 제외한 날을 의미한다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
definition,SHA,지분증권이란?,"(i) 모든 주식, 사원지분, 조합지분, 소유지분 및 기타 지분증권, (ii) 그러한 지분증권을 취득하기 위한 권리, 옵션 또는 워런트 및 (iii) 그러한 지분증권으로 전환, 교환 또는 행사할 수 있는 증권을 의미한다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
