id,task,type,input,output,source
T0001,DEFINITION,SHA,계약서 상에서 사용되는 용어인 공정시장가치란?,"어느 일자 기준으로, 지배주주와 소수주주가 공동으로 선임한 국내 4대 회계법인에 의해, 또는 지배주주와 소수주주가 제3자의 제안일로부터 [?]영업일 이내에 회계법인에 대한 합의에 도달하지 못한 경우 직전 연도 또는 해당 정보가 제공되는 가장 최근 연도에 금융감독원에 보고되어 공시된 매출액에 기반하여 가장 높은 매출액을 가진 회계법인이 정하는 공정시장가치를 의미한다. 단, 해당 회계법인은 회사, 지배주주 또는 소수주주의 외부감사인에 해당하지 않아야 하며 달리 일방 당사자와 그 공정성에 영향을 미칠만한 이해상충 사유가 없어야 한다. ",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0002,DEFINITION,SHA,계약서 상에서 사용되는 용어인 적격 IPO란?,"(i) (A) 당시 소수주주가 소유한 매도대상주식 전부가 해당 IPO를 통해 매각되고, (B) 회사의 보통주식의 주당 공모가격이 소수주주가 IPO를 통해 매각되는 매도대상주식과 관련하여 최소 IRR을 실현할 수 있는 가격 이상인 IPO, 또는 (ii) (A) 당시 소수주주가 소유한 매도대상주식의 [?]% 이상이 해당 IPO를 통해 매각되고, (B) 회사의 보통주식의 주당 공모가격이 소수주주가 IPO를 통해 매각하는 매도대상주식과 관련하여 [?]%의 IRR을 실현할 수 있는 가격 이상인 IPO를 의미한다.
소수주주로 투자를 하는 재무적 투자자의 투자회수(Exit)와 관련한 일종의 기준으로 기능하며, 적격 IPO의 정의는 (i) 적격 IPO의 요건에 충족하지 아니하는 상장을 소수주주가 반대할 수 있고, 이에 따라 소수주주가 지배주주에 대하여 주주간계약의 위반에 따른 페널티의 발동 요건이 될 수 있다는 점과 (ii) 분쟁 가능성(소수주주의 투자 당시에는 시장전망 및 산업전망이 좋아 적격IPO 달성이 예상되어도, 실제 IPO 시점에서의 시장 내지 산업 상황에 따라 IPO가 어렵거나 적정한 공모가격이 산정되지 아니할 위험 존재)이 내포되어 있다는 점에서 중요한 의미를 가지므로 지배주주 입장에서 적격 IPO 정의에 대한 신중한 접근이 필요하다.
",가이드라인
T0003,DEFINITION,SHA,기업 인수합병과 관련한 용어인 내부수익률(IRR)이란?,"(x) 소수주주가 매도대상주식에 대하여 지급한 진입가격(음수로 표현)과 (y) 소수주주의 매도대상주식과 관련 회수금액(배당금, 유상감자대금 등을 포함하여 주주의 자격에서 지급받은 금원을 의미하며 양수로 표현)을 해당 주식의 취득일로부터 각 회수일까지의 기간을 대상으로 하여 어떠한 이자율로 할인하였을 때 위 (x) 및 위 (y)의 현재가치의 합산액이 영(0)이 되도록 하는 이자율을 의미함. 적격 IPO가 되지 않음으로써 지배주주가 대상회사의 경영권을 잃거나 대상회사 운영에 장애를 겪을 수 있는 상황에서 지배주주가 소수주주의 주식 매수 시 고려하는 기준으로 기능한다
",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0004,DEFINITION,SHA,"주주간합의서(SHA)에 등장하는 ""지배""란?",의결권 있는 증권의 소유 또는 계약 등 방법을 불문하고 직접 또는 간접적으로 해당 인(人) 또는 해당 인(人)의 경영에 대하여 지시를 내리거나 지시하도록 하거나 이에 영향을 미칠 수 있는 능력을 의미한다,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0005,DEFINITION,SHA,적격IPO 간주란 무엇인가요?,"적격 IPO 요건을 충족하지 못함에 따른 페널티를 지배주주가 받거나 소수주주와 분쟁이 발생하는 것을 미연에 방지하기 위하여 적격 간주 IPO에 대해 규정하게 된다. IPO가 적격 IPO로 진행될 것이라는 합리적인 판단에 따라 지배주주가 회사로 하여금 IPO를 진행하게 하였으나 해당 IPO가 완료 당시 적격 IPO의 조건을 충족하지 않는 경우, 적격간주 IPO조건으로 하는 대체 거래를 제안하고, 소수주주는 지배주주의 제안을 받고 수락여부를 결정할 수 있다",가이드라인
T0006,DEFINITION,SHA,주주간계약서(SHA)에서의 유인금지 조항이 뭐야?,"지배주주가 대상회사의 임직원을 유인하는 등으로 대상회사의 가치를 훼손하는 행위를 금지하기 위한 규정으로 지배주주는 소수주주의 사전 서면 동의가 없는 한, 본 계약이 존속하는 동안 및 본 계약의 해지일로부터 [?]년이 경과한 날까지, 직접 또는 특수관계인을 통하여 간접적으로, (i) 회사의 고객, 협력업체 기타 거래처로 하여금 회사와의 계약관계 기타 거래관계를 종료, 축소하거나 거래조건을 불리하게 변경하도록 하는 행위, (ii) 회사의 임직원을 고용 또는 채용하거나 이를 권유하는 행위를 하여서는 아니된다 등으로 계약서에 쓰인다.",가이드라인
T0007,DEFINITION,SHA,이사회의 의결정족수는 무엇인가요?,"이사회 진행 과정에서 사항에 대한 승인은 관련 법률에 따라 달리 요구되지 않는 한, 출석 이사 과반수의 찬성을 요한다는 의미이다.",가이드라인
T0008,DEFINITION,SHA,주주간합의서(SHA)에서 콜옵션 IRR은 무엇인가요?,"각 제안주식에 대하여 종결일로부터 해당 콜옵션 거래의 종결시까지 적용되는 IRR을 의미함. 기간 구애없이 일정한 IRR로 정할수도 있고, 당사자간 협상에 따라 기간을 구분하여 규정할수도 있다.
(i) 콜옵션 종결이 적격 IPO 이행기한으로부터 [?]개월 이내에 이루어지는 경우 [?]% 
(ii) 콜옵션 종결이 위 (i)에 언급된 기간 직후 도래하는 [?]년의 기간 중 어느 때에 이루어지는 경우 [?]%
(iii) 콜옵션 종결이 위 (ii)에 언급된 기간 직후 도래하는 [?]년의 기간 중 어느 때에 이루어지는 경우 [?]%
(iv) 콜옵션 종결이 위 (iii)에 언급된 기간 직후 도래하는 [?]년의 기간 중 어느 때에 이루어지는 경우 [?]%
(v) 콜옵션 종결이 위 (iv)에 명시된 기간의 만료 후 어느 때에 이루어지는 경우 [?]%.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0009,DEFINITION,SHA,계약서 상의 영업일은 어떻게 정의되나요?,"(i) 토요일이나 일요일, 또는 (ii) 대한민국에 소재한 은행들이 법률상 휴업할 것이 요구되거나 승인된 날을 제외한 날을 의미한다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0010,DEFINITION,SHA,지분증권이란?,"(i) 모든 주식, 사원지분, 조합지분, 소유지분 및 기타 지분증권, (ii) 그러한 지분증권을 취득하기 위한 권리, 옵션 또는 워런트 및 (iii) 그러한 지분증권으로 전환, 교환 또는 행사할 수 있는 증권을 의미한다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0011,DEFINITION,SHA,투자자의 동반매도청구권(tag-along right)란?,일방주주가 제3자에게 보유주식을 매도하고자 하는 경우 상대방 주주가 그 양도하는 주주와 함께 동일한 조건으로 해당 제3자에게 양도할 수 있는 권리이다,가이드라인
T0012,DEFINITION,SHA,투자자의 동반매각요구권(drag-along right)이란?,일방주주가 제3자에게 보유주식을 매도하고자 하는 경우 상대방 주주가 보유하는 주식을 동등한 조건으로 함께 매각할 것을 요구할 수 있는 권리이다,가이드라인
T0013,DEFINITION,SHA,IPO위원회는 무엇을 논의하나요?,"적격 IPO의 시기, 방식, 절차, 자문인 선임, 그 외 세부 사항 등 적격 IPO의 준비 및 완료에 대하여 검토하고 논의할 특별 위원회이다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0014,DEFINITION,SHA,주주간 계약서에 양도금지 조항이 있는 것은 무엇을 의미하나요?,본 계약의 어느 당사자도 상대방 당사자의 사전 서면 동의 없이 본 계약에 따른 자신의 권리를 양도하거나 의무를 위임할 수 없다.,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0015,DEFINITION,SHA,가분성/개별성은 무엇을 의미하나요?,"본 계약 또는 본 계약과 관련하여 체결된 문서에 포함된 하나 이상의 조항이 관련 법률에 따라 무효, 위법 또는 집행 불가능한 경우, 본 계약에 포함된 나머지 조항의 유효성, 적법성 및 집행 가능성은 그로 인하여 어떠한 방식으로도 영향을 받거나 손상되지 않는다. 이 경우, 당사자들은 본 계약을 체결함에 있어 당사자들의 의도를 가장 잘 반영하는 유효하고 집행 가능한 대체 조항 또는 합의를 성실하게 협의하기 위하여 최선의 노력을 다한다",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0016,DEFINITION,SHA,우선매수권(right of first refusal)은 무엇인가요?,지분을 매도하고자 하는 주주가 제3자와 사이에 가격을 포함한 관련 조건을 확정하고 상대방 주주에게 동일한 조건으로 제3자에 우선하여 매수할 수 있는 권리를 상대방 주주에게 부여하는 것이다,가이드라인
T0017,DEFINITION,SHA,특수관계인은 무엇인가요?,"본인을 직접 또는 간접적으로 지배하거나, 본인에 의하여 지배되거나, 또는 본인과 공동의 지배하에 있는 자를 의미한다",\\KCSDATA2\0Sn$\Saltlux\SMF\센드 완료\삼표_동양시멘트
T0018,DEFINITION,SHA,후속투자권리 조항이 무엇인가요?,"대상회사가 제 3자로부터 투자를 유치할 수 있고, 후속 투자를 유치하고자 하는 경우 투자자에게 [*원 범위 내에서의 후속 투자 금액, 후속 투자의 방식, 후속 투자 관련 회사의 가치(Valuation), 후속 투자의 조건 및 총 모집금액 등을 기재한 서면(“후속 투자 제안서”)을 제공하여야 하고, 투자자는 회사로부터 후속 투자 제안서를 제공받은 날로부터 [*]일 이내에 회사에 후속 투자 제안서에 대해 동의 또는 거절하거나 후속 투자 제안서에 대한 대안(“후속 투자 대안”)을 제시하여야 한다. 이는 소수지분을 보유한 투자자의 경우 지분 희석으로 투자 당시 상정한 수익률 등 투자 관련 기본 구조가 변경될 가능성이 존재해 증권 발행을 하기 전에 사전에 정한 지분율을 유지할 수 있도록 투자자에게 증권을 인수할 권리를 부여해주도록 요구하는 것이다.",가이드라인
T0019,DEFINITION,SHA,주주간 계약서에서 정의하는 교착상태(deadlock)의 대표적인 사례는 무엇이 있나요?,"1. 대상회사의 이사회 또는 주주총회에서 특정 안건이 연속으로 [?]회 이상 상정되었다가 부결(또는 보류)된 경우
2. 제[?]조에서 정한 주주간 합의사항 및/또는 제[?]조에서 정한 협의체 논의안건과 관련하여, 일방 당사자가 상대방 당사자에게 서면으로 특정 안건에 대한 상호 합의 요청한 날로부터 [?]월 이내에 해당 안건에 대한 상호 합의가 이루어지지 않은 경우
",가이드라인
T0020,DEFINITION,SHA,풋옵션(put option)이 무엇인가요?,투자자가 보유하는 회사 주식 전부(“풋옵션 대상주식”)를 매도할 수 있는 권리,가이드라인
T0021,COMPLETION_HARD,SHA,"제1조 주식의 양도 제한
(1) 각 당사자는 본건 거래종결일로부터 [?]년이 되는 날까지(“매도제한기간”) 상대방 당사자의 사전 서면 동의가 없는 한 
","자신이 보유하고 있는 회사 발행 주식 전부 또는 일부를 제3자에게 양도, 담보 설정 또는 기타 어떠한 방법으로도 처분(“양도등”)할 수 없다. ",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0022,COMPLETION_MEDIUM,SHA,"제1조 주식의 양도 제한
(1) 각 당사자는 본건 거래종결일로부터 [?]년이 되는 날까지(“매도제한기간”) 상대방 당사자의 사전 서면 동의가 없는 한 자신이 보유하고 있는 [BLANK]할 수 없다. 다만, 각 당사자는 다음 각 호가 전부 충족되는 것을 전제조건으로 상대방 당사자의 사전 서면 동의가 없어도 자신의 계열회사에 이를 양도등할 수 있다.
1. 상대방 당사자에게 이를 사전에 서면으로 통지할 것
2. 양수하는 계열회사가, 양도하는 당사자의 본 계약상 지위와 본 계약으로 인한 권리 및 의무를 전부 승계할 것
","회사 발행 주식 전부 또는 일부를 제3자에게 양도, 담보 설정 또는 기타 어떠한 방법으로도 처분(“양도등”)",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
